index,hashcode,hashname,len,loc_offset,loc_file,path
0,01b50007,HT_File_AS_FPlay,882688,00000000,00000000,x:\gforce\binary\_bin_pc\as_fplay.edb
1,01b5002d,HT_File_AS_L00_005,14336,001b4800,00000000,x:\gforce\binary\_bin_pc\as_l00_005.edb
2,01b50015,HT_File_AS_L01_002,20480,001c9800,00000000,x:\gforce\binary\_bin_pc\as_l01_002.edb
3,01b50008,HT_File_AS_L01_010,14336,001e2800,00000000,x:\gforce\binary\_bin_pc\as_l01_010.edb
4,01b50037,HT_File_AS_L01_018,6144,0022b800,00000000,x:\gforce\binary\_bin_pc\as_l01_018.edb
5,01b50009,HT_File_AS_L01_020,10240,00231800,00000000,x:\gforce\binary\_bin_pc\as_l01_020.edb
6,01b5000a,HT_File_AS_L01_030,32768,0023e000,00000000,x:\gforce\binary\_bin_pc\as_l01_030.edb
7,01b5000b,HT_File_AS_L01_040,4096,00263800,00000000,x:\gforce\binary\_bin_pc\as_l01_040.edb
8,01b50027,HT_File_AS_L01_045,86016,00265800,00000000,x:\gforce\binary\_bin_pc\as_l01_045.edb
9,01b5000c,HT_File_AS_L01_050,8192,002d9000,00000000,x:\gforce\binary\_bin_pc\as_l01_050.edb
10,01b50030,HT_File_AS_L01_055,4096,002dd800,00000000,x:\gforce\binary\_bin_pc\as_l01_055.edb
11,01b5000d,HT_File_AS_L01_060,4096,002e5800,00000000,x:\gforce\binary\_bin_pc\as_l01_060.edb
12,01b5000f,HT_File_AS_L02_010,6144,002ed000,00000000,x:\gforce\binary\_bin_pc\as_l02_010.edb
13,01b5002b,HT_File_AS_L02_012,18432,00317800,00000000,x:\gforce\binary\_bin_pc\as_l02_012.edb
14,01b50025,HT_File_AS_L02_030,593920,0031c000,00000000,x:\gforce\binary\_bin_pc\as_l02_030.edb
15,01b50010,HT_File_AS_L02_050,40960,00495800,00000000,x:\gforce\binary\_bin_pc\as_l02_050.edb
16,01b5000e,HT_File_AS_L02_100,26624,004e9000,00000000,x:\gforce\binary\_bin_pc\as_l02_100.edb
17,01b5001d,HT_File_AS_L02_130,8192,00517800,00000000,x:\gforce\binary\_bin_pc\as_l02_130.edb
18,01b50020,HT_File_AS_L02_133,4096,00519800,00000000,x:\gforce\binary\_bin_pc\as_l02_133.edb
19,01b5001f,HT_File_AS_L02_135,6144,00521800,00000000,x:\gforce\binary\_bin_pc\as_l02_135.edb
20,01b5001e,HT_File_AS_L02_140,6144,0052f000,00000000,x:\gforce\binary\_bin_pc\as_l02_140.edb
21,01b50032,HT_File_AS_L02_145,6144,00530800,00000000,x:\gforce\binary\_bin_pc\as_l02_145.edb
22,01b50033,HT_File_AS_L02_150,4096,00552800,00000000,x:\gforce\binary\_bin_pc\as_l02_150.edb
23,01b50017,HT_File_AS_L03_010,2742272,0055a000,00000000,x:\gforce\binary\_bin_pc\as_l03_010.edb
24,01b50022,HT_File_AS_L03_012,18432,007f7800,00000000,x:\gforce\binary\_bin_pc\as_l03_012.edb
25,01b50023,HT_File_AS_L03_014,16384,007fc000,00000000,x:\gforce\binary\_bin_pc\as_l03_014.edb
26,01b50018,HT_File_AS_L03_015,12288,00800000,00000000,x:\gforce\binary\_bin_pc\as_l03_015.edb
27,01b5001b,HT_File_AS_L03_020,4096,00803000,00000000,x:\gforce\binary\_bin_pc\as_l03_020.edb
28,01b50026,HT_File_AS_L03_022,12288,00804000,00000000,x:\gforce\binary\_bin_pc\as_l03_022.edb
29,01b50028,HT_File_AS_L03_023,8192,00811800,00000000,x:\gforce\binary\_bin_pc\as_l03_023.edb
30,01b50029,HT_File_AS_L03_024,10240,00813800,00000000,x:\gforce\binary\_bin_pc\as_l03_024.edb
31,01b5001a,HT_File_AS_L03_025,26624,00856800,00000000,x:\gforce\binary\_bin_pc\as_l03_025.edb
32,01b5002c,HT_File_AS_L03_028,6144,0085d000,00000000,x:\gforce\binary\_bin_pc\as_l03_028.edb
33,01b5002e,HT_File_AS_L03_035,4096,0085e800,00000000,x:\gforce\binary\_bin_pc\as_l03_035.edb
34,01b50019,HT_File_AS_L04_010,16384,00867000,00000000,x:\gforce\binary\_bin_pc\as_l04_010.edb
35,01b50036,HT_File_AS_L04_018,14336,0086b000,00000000,x:\gforce\binary\_bin_pc\as_l04_018.edb
36,01b5001c,HT_File_AS_L04_020,126976,0086e800,00000000,x:\gforce\binary\_bin_pc\as_l04_020.edb
37,01b50024,HT_File_AS_L04_025,190464,0088d800,00000000,x:\gforce\binary\_bin_pc\as_l04_025.edb
38,01b50021,HT_File_AS_L04_030,14336,008cd000,00000000,x:\gforce\binary\_bin_pc\as_l04_030.edb
39,01b5002f,HT_File_AS_L04_035,4096,008d0800,00000000,x:\gforce\binary\_bin_pc\as_l04_035.edb
40,01b50034,HT_File_AS_L05_005,4096,008d4800,00000000,x:\gforce\binary\_bin_pc\as_l05_005.edb
41,01b50016,HT_File_AS_L05_010,20480,008d7800,00000000,x:\gforce\binary\_bin_pc\as_l05_010.edb
42,01b5002a,HT_File_AS_L05_020,18432,008dc800,00000000,x:\gforce\binary\_bin_pc\as_l05_020.edb
43,01b50031,HT_File_AS_L05_030,4096,008e1000,00000000,x:\gforce\binary\_bin_pc\as_l05_030.edb
44,01b50006,HT_File_AS_MVacuum,6144,008e2000,00000000,x:\gforce\binary\_bin_pc\as_mvacuum.edb
45,01b50005,HT_File_AS_Tests,661504,008ed000,00000000,x:\gforce\binary\_bin_pc\as_tests.edb
46,01c50017,HT_File_Char_Enemy_Anim_Aircon,79872,00ab6800,00000000,x:\gforce\binary\_bin_pc\cea_aircon.edb
47,01c50020,HT_File_Char_Enemy_Anim_AirFreshener,40960,00ae0000,00000000,x:\gforce\binary\_bin_pc\cea_airfsh.edb
48,01c50027,HT_File_Char_Enemy_Anim_AlarmClock,63488,00b02000,00000000,x:\gforce\binary\_bin_pc\cea_alarm.edb
